City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
235,Ca Mau,VN,9.1769,105.15,70.5,83,64,6.69,broken clouds
236,Richards Bay,ZA,-28.783,32.0377,77.5,72,90,14.23,overcast clouds
237,Curvelo,BR,-18.7564,-44.4308,73.81,71,87,3.96,overcast clouds
238,Grimmen,DE,54.1121,13.0405,38.01,94,100,10.89,overcast clouds
239,Tual,ID,-5.6667,132.75,83.1,77,100,13.58,moderate rain
240,Acarau,BR,-2.8856,-40.12,81.28,81,29,17.83,scattered clouds
241,Daru,PG,-9.0763,143.2092,83.88,69,100,2.75,overcast clouds
242,Rawson,AR,-43.3002,-65.1023,63.27,62,28,13.78,scattered clouds
243,Lavrentiya,RU,65.5833,-171.0,29.25,97,100,19.98,snow
244,Zhezkazgan,KZ,47.8043,67.7144,31.6,94,100,7.11,overcast clouds
245,Macamic,CA,48.7502,-78.9996,10.63,90,100,6.87,overcast clouds
246,Rocha,UY,-34.4833,-54.3333,60.44,97,77,4.29,broken clouds
247,Saint George,US,37.1041,-113.5841,68.47,25,1,1.99,clear sky
248,Grand Gaube,MU,-20.0064,57.6608,78.39,71,18,4.0,few clouds
249,Pacific Grove,US,36.6177,-121.9166,69.31,85,4,3.0,clear sky
250,Fougamou,GA,-1.2154,10.5838,75.02,98,100,2.3,moderate rain
251,Opuwo,NA,-18.0607,13.84,66.65,25,1,1.3,clear sky
252,Xining,CN,36.6167,101.7667,24.03,43,4,1.16,clear sky
253,Carutapera,BR,-1.195,-46.02,79.16,84,24,6.96,few clouds
254,Porangatu,BR,-13.4408,-49.1486,71.82,93,77,1.59,broken clouds
255,Caravelas,BR,-17.7125,-39.2481,74.17,88,0,4.94,clear sky
256,Aksarka,RU,66.5606,67.7975,-15.92,90,62,13.98,broken clouds
257,Faya,SA,18.3851,42.4509,53.71,70,0,1.66,clear sky
258,Shimoda,JP,34.6667,138.95,52.16,82,100,16.6,overcast clouds
259,Alekseyevsk,RU,57.8406,108.3492,19.98,95,100,6.69,light snow
260,Omboue,GA,-1.5746,9.2618,76.28,94,100,7.56,light rain
