City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Japura,ID,2021-12-04 00:47:06,-0.3167,102.35,77.81,83,100,4.41
202,Opuwo,NA,2021-12-04 00:47:07,-18.0607,13.84,68.18,37,94,3.38
203,Luan,CH,2021-12-04 00:47:07,46.3592,6.9759,31.91,87,100,1.99
204,Saint George,US,2021-12-04 00:44:46,37.1041,-113.5841,61.39,25,1,0.0
205,Tigil,RU,2021-12-04 00:47:08,57.8,158.6667,24.39,94,100,4.92
206,Kalmunai,LK,2021-12-04 00:47:08,7.4167,81.8167,76.68,88,100,3.04
207,Nuevo Progreso,MX,2021-12-04 00:47:09,23.1667,-97.95,77.59,68,0,7.72
208,Dikson,RU,2021-12-04 00:47:09,73.5069,80.5464,-22.04,95,74,12.55
209,Bourail,NC,2021-12-04 00:47:10,-21.5667,165.4833,83.82,62,92,2.35
210,Robertsport,LR,2021-12-04 00:47:10,6.7533,-11.3686,80.8,81,100,8.77
211,Noyabrsk,RU,2021-12-04 00:47:11,63.1994,75.4507,1.67,96,100,7.14
212,Namatanai,PG,2021-12-04 00:47:11,-3.6667,152.4333,84.94,72,55,11.27
213,Port Blair,IN,2021-12-04 00:47:12,11.6667,92.75,80.78,80,27,9.37
214,San Andres,CO,2021-12-04 00:47:12,12.5847,-81.7006,82.42,78,90,13.8
215,Ust-Nera,RU,2021-12-04 00:47:12,64.5667,143.2,-30.46,98,90,2.37
216,Luderitz,NA,2021-12-04 00:47:13,-26.6481,15.1594,61.09,77,75,9.48
217,Salinopolis,BR,2021-12-04 00:47:13,-0.6136,-47.3561,78.71,85,100,7.74
218,Pak Chong,TH,2021-12-04 00:46:15,14.708,101.4161,61.05,74,26,9.75
219,Lebu,CL,2021-12-04 00:47:14,-37.6167,-73.65,52.88,88,8,20.07
220,Perth,AU,2021-12-04 00:43:08,-31.9333,115.8333,76.03,52,0,12.66
221,Erenhot,CN,2021-12-04 00:47:14,43.6475,111.9767,23.16,52,0,8.66
222,Fairbanks,US,2021-12-04 00:48:15,64.8378,-147.7164,-19.39,60,1,5.75
223,Port Macquarie,AU,2021-12-04 00:43:33,-31.4333,152.9167,80.89,70,100,9.57
224,Orlik,RU,2021-12-04 00:48:15,52.5178,99.825,2.25,80,100,2.95
225,Zhuhai,CN,2021-12-04 00:48:16,22.2769,113.5678,64.98,48,0,16.11
226,Umea,SE,2021-12-04 00:48:16,63.8284,20.2597,22.93,86,90,11.5
227,Madison,US,2021-12-04 00:43:25,34.7334,-86.5667,63.91,76,1,11.99
228,Yatou,CN,2021-12-04 00:48:17,37.15,122.3833,44.76,60,4,9.73
229,Itoman,JP,2021-12-04 00:48:17,26.1247,127.6694,66.58,48,75,20.71
230,Bonthe,SL,2021-12-04 00:48:17,7.5264,-12.505,79.83,82,12,5.01
